campus,satisfaction,count,campus_n,share,data_kind
NYU Shanghai,1,4,12,0.3333333333333333,synthetic
NYU Shanghai,2,2,12,0.16666666666666666,synthetic
NYU Shanghai,3,3,12,0.25,synthetic
NYU Shanghai,4,1,12,0.08333333333333333,synthetic
NYU Shanghai,5,2,12,0.16666666666666666,synthetic
NYU Abu Dhabi,1,7,16,0.4375,synthetic
NYU Abu Dhabi,2,5,16,0.3125,synthetic
NYU Abu Dhabi,3,1,16,0.0625,synthetic
NYU Abu Dhabi,4,0,16,0.0,synthetic
NYU Abu Dhabi,5,3,16,0.1875,synthetic
Another NYU global site,1,4,22,0.18181818181818182,synthetic
Another NYU global site,2,6,22,0.2727272727272727,synthetic
Another NYU global site,3,6,22,0.2727272727272727,synthetic
Another NYU global site,4,3,22,0.13636363636363635,synthetic
Another NYU global site,5,3,22,0.13636363636363635,synthetic
