field,origin,type,allowed_values,meaning,role,missing_policy,release
C0,survey,integer,1=Yes; 2=No,Consent,consent,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
S1,survey,integer,1=Yes; 2=No,Studying away at NYU New York in Fall 2026,eligibility,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
S2,survey,integer,1=NYU Shanghai; 2=NYU Abu Dhabi; 3=Another NYU global site,Home campus,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
B1,survey,integer,1=1st; 2=2nd; 3=3rd; 4=4th,Year of study,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
B2,survey,integer,1=CS or Engineering; 2=Business; 3=Natural sciences; 4=Social sciences; 5=Humanities; 6=Undecided,Primary field,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
B3,survey,integer,1=Yes; 2=No,First study-away term,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
B4,survey,float,Finite numeric 0–24 inclusive; decimals allowed,Current credits,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
P1,survey,integer,1=0–2; 2=3–5; 3=6–10; 4=11–20; 5=More than 20,Hours researching courses rounded to nearest whole hour,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
P2,survey,multiselect packed codes,1=Albert catalog; 2=Syllabi; 3=Academic advisor; 4=Upperclassmen or peers; 5=Student group chats; 6=Course-review sites; 7=Professor's own page; 8=Other,Sources used,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
P3,survey,integer,Same codes as P2; must be a member of P2,Single most useful source,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
